CONCEPTICON_ID	WIKIPEDIA_ID
913	crow
1251	abdomen
2283	semen
2285	eclipse
2286	estuary
2287	horizon
2288	Shooting star
2289	milky way
2290	puddle
2291	volcano
2292	glasses
2293	Palatine Uvula
2294	wrinkle
2295	sunset
2296	sunrise
2297	dusk
2298	Virginity
2299	straw
2313	bronze
2342	landscape
2343	steel
2346	crested myna
2347	Red yellow croaker
2348	crab
2349	shrimp
2350	earthworm
2351	silkworm
2353	cicada
2354	Cricket (insect)
2355	gecko
2356	Prunus mune
2359	Nelumbo nucifera
2360	Osmanthus fragrans
2361	mugwort
2362	bran
2363	chaff (husk)
2364	peanut
2365	radish
2366	onion
2367	Mandarine orange
2368	garlic
2369	betel nut
2371	breadfruit
2372	sago palm
2374	dream
2375	Vertical direction
2376	Horizontal plane
2388	liana
2389	COATI
2390	Collared_peccary
2397	lobster
2402	robin
2403	toy
2404	santa claus
2405	christmas
2408	cake
2413	sarong
2423	channel
2437	Açaí palm
2438	Caiman
2439	Astrocaryum_vulgare
2440	pineapple
2441	cashew
2442	cocoa bean
2443	electric eel
2444	kingfisher
2445	papaya
2446	sloth
2447	woodpecker
2448	Free-ranging_dog#Wild_dogs
2459	grindstone
2460	dingo
2461	Canis
2462	winnowing
2466	weight
2467	game
2471	lady
2472	breastfeeding
2477	yak
2489	abacus
2490	noon
2491	poultry meat
2494	bamboo shoot
2495	elephant#tusks
2499	kapok tree
2500	ginger
2504	different
2508	pangolin
2510	porcupine
2511	gibbon
2515	carabao
2516	water buffalo
2518	hearing
2519	visual perception
2520	olfaction
2521	haptic perception
2522	screaming
2532	tornado
2543	raven
2545	harrow (tool)
2546	border
2553	plate armour
2578	pencil
2579	toothbrush
2580	helicopter
2581	octopus
2582	wheelchair
2583	pretzel
2584	bench
2585	racquet
2586	seahorse
2587	darts
2588	globe
2589	wreath
2590	harmonica
2591	rhinoceros
2592	igloo
2593	stilts
2594	dominoes
2595	cactus
2596	escalator
2597	harp
2598	door knocker
2599	stethoscope
2600	pyramid
2601	unicorn
2602	funnel
2603	accordion
2604	noose
2605	asparagus
2606	compass
2607	tripod
2608	scroll
2609	sphinx
2610	trellis (architecture)
2611	palette (painting)
2612	protractor
2617	bulb
2618	camera
2619	card
2620	carriage
2621	curtain
2622	engine
2623	flag
2624	frame
2625	map
2626	nerve
2627	orange (fruit)
2628	plant stem
2629	tray
2630	whip
2631	wire
2647	catty
2663	umbilical cord
2665	wart
2666	sole (foot)
2667	torso
2668	skeleton
2686	crustacean
2789	burping
2797	sesame
2842	turmeric
2843	cauliflower
2862	connect
2864	decrease
2872	improve
2875	ring
2878	seat
2881	urge
2893	notice
2905	knit
2906	translate
2911	backward
2912	forward
2914	once
2930	boss
2931	business
2932	cold
2933	conversation
2934	cuckoo
2935	Current_(stream)
2936	elevation
2937	fairy tale
2938	flavor
2939	flock
2940	gate
2941	happiness
2942	hoarfrost
2958	laughter
2959	leash
2960	longing
2961	message
2962	moorland
2963	Net_(device)
2964	news
2965	paw
2966	perch
2967	Northern_pike
2968	reason
2969	ribbon
2970	riddle
2971	sin
2972	sleep
2973	strap
2974	swarm
2975	thought
2976	violence
2978	distance
2980	area
2982	gift
2983	companionship
2985	height
2986	campfire
2987	amount
2988	pattern
2991	ski
2994	support
2995	Musical_tone
2996	wealth
2997	colorful
2998	damp
2999	everywhere
3003	solid
3242	crossbow
3243	cypress
3244	grain (botany)
3247	kiwifruit
3253	chinese prickly-ash
3248	maple tree
3252	pancreas
492	3_(number)
493	5_(number)
1294	0_(number)
1483	9_(number)
1493	1_(number)
1498	2_(number)
1500	4_(number)
1634	100_(number)
1703	6_(number)
1704	7_(number)
1705	8_(number)
1706	11_(number)
1707	12_(number)
1708	13_(number)
1709	15_(number)
1710	20_(number)
1713	18_(number)
1714	19_(number)
1715	30_(number)
1716	40_(number)
1717	50_(number)
1718	60_(number)
1721	70_(number)
1722	80_(number)
1724	90_(number)
1734	21_(number)
1736	24_(number)
1738	25_(number)
1843	1000_(number)
2078	10000_(number)
2451	14_(number)
2453	17_(number)
2454	16_(number)
2676	200_(number)
1515	10_(number)
3166	22_(number)
3164	123_(number)
3165	23_(number)
