ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN
Jachontov-1991-65-1	646	ASH	1	ashes	пепел
Jachontov-1991-65-2	1251	BELLY	2	belly	живот
Jachontov-1991-65-3	1202	BIG	3	big	большой
Jachontov-1991-65-4	937	BIRD	4	bird	птица
Jachontov-1991-65-5	163	BLACK	5	black	черный
Jachontov-1991-65-6	1402	BREAST	8	breast	грудь
Jachontov-1991-65-7	1489	CLOUD	9	cloud	облака
Jachontov-1991-65-8	1287	COLD	10	cold	холодный
Jachontov-1991-65-9	1446	COME	11	come	приходить
Jachontov-1991-65-10	1401	DRINK	14	drink	пить
Jachontov-1991-65-11	1398	DRY	15	dry	сухой
Jachontov-1991-65-12	1228	EARTH (SOIL)	17	earth	земль
Jachontov-1991-65-13	1336	EAT	18	eat	есть
Jachontov-1991-65-14	1406	FAR	21	far	далекий
Jachontov-1991-65-15	1282	FAT (FROM ANIMALS)	22	fat n.	жир
Jachontov-1991-65-16	1441	FLY (MOVE THROUGH AIR)	25	fly v.	лететь
Jachontov-1991-65-17	1301	FOOT	26	foot	нога
Jachontov-1991-65-18	1035	GOOD	29	good	хороший
Jachontov-1991-65-19	1425	GREEN	30	green	зеленый
Jachontov-1991-65-20	1040	HAIR	31	hair	волос
Jachontov-1991-65-21	1256	HEAD	33	head	голова
Jachontov-1991-65-22	1408	HEAR	34	hear	слышать
Jachontov-1991-65-23	1223	HEART	35	heart	сердце
Jachontov-1991-65-24	1210	HEAVY	36	heavy	тяжелый
Jachontov-1991-65-25	1417	KILL	39	kill	убивать
Jachontov-1991-65-26	1371	KNEE	40	knee	колено
Jachontov-1991-65-27	628	LEAF	42	leaf	лист
Jachontov-1991-65-28	1224	LIVER	43	liver	печень
Jachontov-1991-65-29	1203	LONG	44	long	длинний
Jachontov-1991-65-30	1554	MAN	46	man	мужчина
Jachontov-1991-65-31	1198	MANY	47	many	много
Jachontov-1991-65-32	634	MEAT	48	meat	мясо
Jachontov-1991-65-33	639	MOUNTAIN	50	mountain	гора
Jachontov-1991-65-34	674	MOUTH	51	mouth	рот
Jachontov-1991-65-35	1942	NEAR	53	near	блиский
Jachontov-1991-65-36	1333	NECK	54	neck	шея
Jachontov-1991-65-37	1233	NIGHT	56	night	ночь
Jachontov-1991-65-38	1240	NOT	58	not	не
Jachontov-1991-65-39	683	PERSON	60	person	человек
Jachontov-1991-65-40	658	RAIN (PRECIPITATION)	61	rain	дождь
Jachontov-1991-65-41	156	RED	62	red	красный
Jachontov-1991-65-42	667	ROAD	63	road	дорога
Jachontov-1991-65-43	670	ROOT	64	root	корень
Jachontov-1991-65-44	1395	ROUND	65	round	круглый
Jachontov-1991-65-45	671	SAND	67	sand	песок
Jachontov-1991-65-46	1458	SAY	68	say	сказать
Jachontov-1991-65-47	1409	SEE	69	see	видеть
Jachontov-1991-65-48	1645	SHORT	70	short	короткий
Jachontov-1991-65-49	1416	SIT	71	sit	сидеть
Jachontov-1991-65-50	763	SKIN	72	skin	кожа
Jachontov-1991-65-51	1585	SLEEP	73	sleep	спать
Jachontov-1991-65-52	1246	SMALL	74	small	маленький
Jachontov-1991-65-53	778	SMOKE (EXHAUST)	75	smoke	дым
Jachontov-1991-65-54	730	SNAKE	76	snake	змея
Jachontov-1991-65-55	1442	STAND	77	stand	стоять
Jachontov-1991-65-56	1430	STAR	78	star	звесда
Jachontov-1991-65-57	1439	SWIM	81	swim	плавать
Jachontov-1991-65-58	78	THAT	83	that	тот
Jachontov-1991-65-59	2249	THIN (OF SHAPE OF OBJECT)	84	thin	тонкий
Jachontov-1991-65-60	906	TREE	89	tree	дерево
Jachontov-1991-65-61	1443	WALK	91	walk (go)	идти
Jachontov-1991-65-62	1335	WHITE	94	white	белый
Jachontov-1991-65-63	962	WOMAN	97	woman	женщина
Jachontov-1991-65-64	1219	WORM	98	worm	червь
Jachontov-1991-65-65	1424	YELLOW	100	yellow	желты
