ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCE_CONCEPTS	TARGET_CONCEPTS
Winter-2022-98-1	1	cloud	1489	CLOUD	"[{""NAME"": ""fog/mist"", ""ID"": ""Winter-2022-98-2"", ""Polysemy"": 24, ""OvertMarking"": 7}, {""NAME"": ""smoke"", ""ID"": ""Winter-2022-98-7"", ""Polysemy"": 7, ""OvertMarking"": 2}, {""NAME"": ""day"", ""ID"": ""Winter-2022-98-19"", ""Polysemy"": 2, ""OvertMarking"": 3}, {""NAME"": ""sky"", ""ID"": ""Winter-2022-98-82"", ""Polysemy"": 8, ""OvertMarking"": 11}, {""NAME"": ""rain"", ""ID"": ""Winter-2022-98-81"", ""Polysemy"": 4, ""OvertMarking"": 2}]"	"[{""NAME"": ""fog/mist"", ""ID"": ""Winter-2022-98-2"", ""Polysemy"": 24, ""OvertMarking"": 7}, {""NAME"": ""smoke"", ""ID"": ""Winter-2022-98-7"", ""Polysemy"": 7, ""OvertMarking"": 2}, {""NAME"": ""day"", ""ID"": ""Winter-2022-98-19"", ""Polysemy"": 2, ""OvertMarking"": 3}, {""NAME"": ""sky"", ""ID"": ""Winter-2022-98-82"", ""Polysemy"": 8, ""OvertMarking"": 11}, {""NAME"": ""rain"", ""ID"": ""Winter-2022-98-81"", ""Polysemy"": 4, ""OvertMarking"": 2}]"
Winter-2022-98-2	2	fog/mist	249	FOG	"[{""NAME"": ""cloud"", ""ID"": ""Winter-2022-98-1"", ""Polysemy"": 24, ""OvertMarking"": 7}, {""NAME"": ""smoke"", ""ID"": ""Winter-2022-98-7"", ""Polysemy"": 10, ""OvertMarking"": 3}, {""NAME"": ""steam"", ""ID"": ""Winter-2022-98-8"", ""Polysemy"": 9, ""OvertMarking"": 2}, {""NAME"": ""dew"", ""ID"": ""Winter-2022-98-71"", ""Polysemy"": 9, ""OvertMarking"": 2}]"	"[{""NAME"": ""cloud"", ""ID"": ""Winter-2022-98-1"", ""Polysemy"": 24, ""OvertMarking"": 7}, {""NAME"": ""smoke"", ""ID"": ""Winter-2022-98-7"", ""Polysemy"": 10, ""OvertMarking"": 3}, {""NAME"": ""steam"", ""ID"": ""Winter-2022-98-8"", ""Polysemy"": 9, ""OvertMarking"": 2}, {""NAME"": ""dew"", ""ID"": ""Winter-2022-98-71"", ""Polysemy"": 9, ""OvertMarking"": 2}]"
Winter-2022-98-3	3	sun	1343	SUN	"[{""NAME"": ""moon"", ""ID"": ""Winter-2022-98-4"", ""Polysemy"": 17, ""OvertMarking"": 3}, {""NAME"": ""noon"", ""ID"": ""Winter-2022-98-23"", ""Polysemy"": 2, ""OvertMarking"": 24}, {""NAME"": ""clock"", ""ID"": ""Winter-2022-98-65"", ""Polysemy"": 15, ""OvertMarking"": 16}]"	"[{""NAME"": ""moon"", ""ID"": ""Winter-2022-98-4"", ""Polysemy"": 17, ""OvertMarking"": 3}, {""NAME"": ""noon"", ""ID"": ""Winter-2022-98-23"", ""Polysemy"": 2, ""OvertMarking"": 24}, {""NAME"": ""clock"", ""ID"": ""Winter-2022-98-65"", ""Polysemy"": 15, ""OvertMarking"": 16}]"
Winter-2022-98-4	4	moon	1313	MOON	"[{""NAME"": ""sun"", ""ID"": ""Winter-2022-98-3"", ""Polysemy"": 17, ""OvertMarking"": 3}, {""NAME"": ""star"", ""ID"": ""Winter-2022-98-77"", ""Polysemy"": 2, ""OvertMarking"": 5}]"	"[{""NAME"": ""sun"", ""ID"": ""Winter-2022-98-3"", ""Polysemy"": 17, ""OvertMarking"": 3}, {""NAME"": ""star"", ""ID"": ""Winter-2022-98-77"", ""Polysemy"": 2, ""OvertMarking"": 5}]"
Winter-2022-98-5	5	grass	606	GRASS	"[{""NAME"": ""straw/hay"", ""ID"": ""Winter-2022-98-6"", ""Polysemy"": 11, ""OvertMarking"": 10}]"	"[{""NAME"": ""straw/hay"", ""ID"": ""Winter-2022-98-6"", ""Polysemy"": 11, ""OvertMarking"": 10}]"
Winter-2022-98-6	6	straw/hay	2299	STRAW	"[{""NAME"": ""grass"", ""ID"": ""Winter-2022-98-5"", ""Polysemy"": 11, ""OvertMarking"": 10}]"	"[{""NAME"": ""grass"", ""ID"": ""Winter-2022-98-5"", ""Polysemy"": 11, ""OvertMarking"": 10}]"
Winter-2022-98-7	7	smoke	778	SMOKE (EXHAUST)	"[{""NAME"": ""fog/mist"", ""ID"": ""Winter-2022-98-2"", ""Polysemy"": 10, ""OvertMarking"": 3}, {""NAME"": ""dust"", ""ID"": ""Winter-2022-98-13"", ""Polysemy"": 8, ""OvertMarking"": 4}, {""NAME"": ""cloud"", ""ID"": ""Winter-2022-98-1"", ""Polysemy"": 7, ""OvertMarking"": 2}, {""NAME"": ""steam"", ""ID"": ""Winter-2022-98-8"", ""Polysemy"": 31, ""OvertMarking"": 3}]"	"[{""NAME"": ""fog/mist"", ""ID"": ""Winter-2022-98-2"", ""Polysemy"": 10, ""OvertMarking"": 3}, {""NAME"": ""dust"", ""ID"": ""Winter-2022-98-13"", ""Polysemy"": 8, ""OvertMarking"": 4}, {""NAME"": ""cloud"", ""ID"": ""Winter-2022-98-1"", ""Polysemy"": 7, ""OvertMarking"": 2}, {""NAME"": ""steam"", ""ID"": ""Winter-2022-98-8"", ""Polysemy"": 31, ""OvertMarking"": 3}]"
Winter-2022-98-8	8	steam	1193	STEAM	"[{""NAME"": ""fog/mist"", ""ID"": ""Winter-2022-98-2"", ""Polysemy"": 9, ""OvertMarking"": 2}, {""NAME"": ""smoke"", ""ID"": ""Winter-2022-98-7"", ""Polysemy"": 31, ""OvertMarking"": 3}]"	"[{""NAME"": ""fog/mist"", ""ID"": ""Winter-2022-98-2"", ""Polysemy"": 9, ""OvertMarking"": 2}, {""NAME"": ""smoke"", ""ID"": ""Winter-2022-98-7"", ""Polysemy"": 31, ""OvertMarking"": 3}]"
Winter-2022-98-9	9	animal	619	ANIMAL	"[{""NAME"": ""bird"", ""ID"": ""Winter-2022-98-10"", ""Polysemy"": 8, ""OvertMarking"": 8}]"	"[{""NAME"": ""bird"", ""ID"": ""Winter-2022-98-10"", ""Polysemy"": 8, ""OvertMarking"": 8}]"
Winter-2022-98-10	10	bird	937	BIRD	"[{""NAME"": ""animal"", ""ID"": ""Winter-2022-98-9"", ""Polysemy"": 8, ""OvertMarking"": 8}, {""NAME"": ""airplane"", ""ID"": ""Winter-2022-98-68"", ""Polysemy"": 3, ""OvertMarking"": 3}]"	"[{""NAME"": ""animal"", ""ID"": ""Winter-2022-98-9"", ""Polysemy"": 8, ""OvertMarking"": 8}, {""NAME"": ""airplane"", ""ID"": ""Winter-2022-98-68"", ""Polysemy"": 3, ""OvertMarking"": 3}]"
