ID	NUMBER	ENGLISH	SHIFTS	SHIFT_URL	DEGREE	WEIGHTED_DEGREE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zalizniak-2020-2591-1	1	to beat, hit	1:→:20 1:→:16 1:—:15 1:→:11 1:→:10 1:→:7 1:→:7 1:→:7 1:→:6 1:→:6 1:→:6 1:—:5 1:→:5 1:↔:5 1:→:5 1:↔:4 1:→:4 1:↔:4 1:→:3 1:→:2 1:→:2 1:→:2 1:—:2 1:→:2 1:→:2 1:→:2 1:—:2 1:→:2 1:→:2 1:→:1 1:→:1 1:—:1 1:→:1 1:→:1 1:—:1 1:—:1 1:→:1 1:—:1 1:→:1 1:→:1 1:→:1 1:→:1 1:→:1	shift692 shift695 shift691 shift382 shift2393 shift1423 shift4179 shift2337 shift3945 shift337 shift2161 shift2123 shift1458 shift170 shift693 shift1226 shift345 shift2931 shift3359 shift2737 shift2091 shift171 shift2713 shift1230 shift3311 shift2090 shift2893 shift1240 shift2960 shift2336 shift3226 shift2680 shift3232 shift2340 shift4041 shift737 shift2187 shift989 shift694 shift3652 shift1228 shift2339 shift1265	43	180	1665	BEAT
Zalizniak-2020-2591-2	2	to see/to look at	2:→:38 2:→:23 2:→:22 2:→:17 2:→:14 2:→:12 2:—:9 2:→:9 2:→:8 2:→:8 2:→:7 2:→:7 2:→:5 2:↔:5 2:—:5 2:—:5 2:→:5 2:→:4 2:→:4 2:→:4 2:→:4 2:→:3 2:→:3 2:→:3 2:→:3 2:→:3 2:—:2 2:→:2 2:—:2 2:→:2 2:→:2 2:→:2 2:—:1 2:—:1 2:—:1 2:→:1 2:—:1 2:→:1 2:—:0 2:—:0	shift384 shift37 shift35 shift746 shift2186 shift984 shift953 shift1437 shift1069 shift992 shift3503 shift36 shift383 shift773 shift45 shift990 shift1583 shift2747 shift1807 shift2017 shift4303 shift4274 shift987 shift624 shift1176 shift2018 shift4270 shift2179 shift2178 shift1174 shift3560 shift2474 shift3741 shift3776 shift3740 shift307 shift3620 shift3328 shift3737 shift3736	40	248	1409	SEE
Zalizniak-2020-2591-3	3	eye	3:→:20 3:→:12 3:→:9 3:→:9 3:→:8 3:→:8 3:→:7 3:→:6 3:→:6 3:→:6 3:→:4 3:—:4 3:→:4 3:→:4 3:→:3 3:→:3 3:→:3 3:→:3 3:—:2 3:→:2 3:→:2 3:—:2 3:→:1 3:→:1 3:→:1 3:→:1 3:—:1 3:—:1 3:→:1 3:→:1 3:→:1 3:→:1 3:→:1 3:→:1 3:→:0	shift450 shift463 shift473 shift459 shift470 shift462 shift465 shift451 shift460 shift474 shift475 shift447 shift1726 shift452 shift464 shift458 shift471 shift468 shift456 shift2071 shift455 shift445 shift466 shift4280 shift457 shift454 shift3959 shift4302 shift448 shift461 shift2070 shift467 shift469 shift449 shift472	35	139	1248	EYE
Zalizniak-2020-2591-4	4	father	4:→:33 4:→:30 4:—:28 4:→:21 4:→:17 4:—:13 4:→:13 4:—:12 4:→:10 4:→:8 4:—:7 4:—:7 4:—:7 4:↔:5 4:→:5 4:→:5 4:→:4 4:—:2 4:—:2 4:—:2 4:—:2 4:—:2 4:—:1 4:—:1 4:—:1 4:—:1 4:→:1 4:—:1 4:—:1 4:→:1 4:→:1 4:→:1	shift4010 shift3868 shift3704 shift4014 shift3872 shift2357 shift4009 shift4007 shift3590 shift3863 shift3871 shift4030 shift4022 shift4015 shift3869 shift4034 shift4025 shift4037 shift4016 shift4011 shift4029 shift4028 shift4026 shift4023 shift4024 shift4200 shift4032 shift4196 shift4027 shift4036 shift4033 shift4035	32	245	1217	FATHER
Zalizniak-2020-2591-5	5	head	5:↔:23 5:↔:21 5:→:21 5:→:16 5:—:13 5:→:11 5:→:10 5:→:7 5:→:6 5:→:6 5:→:5 5:→:5 5:—:4 5:→:3 5:→:3 5:→:3 5:—:3 5:→:2 5:→:2 5:→:2 5:→:2 5:→:1 5:→:1 5:→:1 5:→:1 5:→:1 5:—:1 5:—:1 5:—:1	shift977 shift515 shift1005 shift1315 shift671 shift3181 shift862 shift1521 shift3687 shift514 shift2673 shift2820 shift540 shift2245 shift3686 shift1522 shift222 shift3527 shift1158 shift3355 shift1738 shift3891 shift3982 shift3890 shift3180 shift1739 shift839 shift2229 shift3762	29	176	1256	HEAD
Zalizniak-2020-2591-6	6	to raise, lift (tr.)	6:→:12 6:→:8 6:—:5 6:→:5 6:→:4 6:—:4 6:→:3 6:—:3 6:→:3 6:—:2 6:—:2 6:→:2 6:→:2 6:→:2 6:—:1 6:→:1 6:—:1 6:—:1 6:—:1 6:→:1 6:—:1 6:—:1 6:—:1 6:—:1 6:→:1 6:—:1 6:→:1 6:→:1	shift3608 shift2169 shift4159 shift919 shift323 shift3711 shift322 shift3712 shift3487 shift3722 shift3714 shift753 shift326 shift3488 shift3727 shift340 shift3726 shift3725 shift3715 shift325 shift3721 shift3720 shift3724 shift3723 shift3937 shift3713 shift2857 shift324	28	71	501	LIFT
Zalizniak-2020-2591-7	7	mouth	7:→:21 7:↔:14 7:→:12 7:→:11 7:→:10 7:→:6 7:→:5 7:—:5 7:→:5 7:↔:4 7:→:2 7:—:1 7:—:1 7:→:1 7:—:1 7:—:1 7:—:1 7:→:1 7:—:1 7:—:1 7:→:1 7:→:1 7:→:1 7:—:1 7:→:1 7:—:1 7:→:0	shift482 shift487 shift477 shift489 shift478 shift483 shift476 shift436 shift479 shift3392 shift488 shift3003 shift3001 shift2274 shift3849 shift2149 shift485 shift481 shift2950 shift3395 shift480 shift486 shift3397 shift2949 shift3114 shift3761 shift484	27	110	674	MOUTH
Zalizniak-2020-2591-8	8	to pull, to draw	8:→:14 8:→:8 8:—:4 8:→:4 8:→:4 8:→:3 8:→:3 8:→:3 8:→:2 8:→:2 8:→:2 8:→:2 8:→:2 8:→:1 8:→:1 8:→:1 8:→:1 8:→:1 8:→:1 8:—:1 8:→:1 8:→:1 8:→:1 8:→:1 8:→:1 8:→:1	shift1303 shift381 shift614 shift1746 shift1568 shift1844 shift664 shift1567 shift3388 shift281 shift83 shift3656 shift81 shift3660 shift3657 shift1512 shift282 shift3371 shift280 shift82 shift3658 shift3659 shift3661 shift2343 shift1885 shift1902	26	66	1455	PULL
Zalizniak-2020-2591-9	9	sharp	9:→:13 9:→:13 9:→:10 9:→:8 9:→:8 9:—:6 9:→:5 9:→:5 9:→:4 9:—:3 9:→:3 9:→:2 9:→:2 9:→:2 9:→:2 9:→:2 9:—:2 9:→:1 9:→:1 9:→:1 9:→:1 9:→:1 9:→:1 9:→:1 9:→:1	shift55 shift2003 shift1413 shift2004 shift887 shift1724 shift1748 shift954 shift2194 shift3409 shift1237 shift1238 shift2094 shift2948 shift2750 shift1911 shift2115 shift3404 shift3403 shift2195 shift3338 shift2095 shift3525 shift2093 shift2753	25	98	1396	SHARP
Zalizniak-2020-2591-10	10	quick	10:—:9 10:—:6 10:—:5 10:—:4 10:↔:4 10:—:4 10:—:3 10:→:3 10:→:2 10:→:2 10:—:2 10:—:2 10:→:2 10:→:1 10:—:1 10:—:1 10:—:1 10:—:1 10:→:1 10:→:1 10:—:1 10:→:1 10:—:1 10:→:1 10:—:1	shift1471 shift1724 shift1640 shift115 shift90 shift1245 shift1720 shift419 shift1377 shift1984 shift420 shift3412 shift867 shift1246 shift1718 shift4288 shift4243 shift1627 shift1378 shift2833 shift687 shift2832 shift2969 shift1379 shift1716	25	60		
