ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Galucio-2015-34-1	003	WE (INCL)	1131	WE (INCLUSIVE)
Galucio-2015-34-2	004	THIS	1214	THIS
Galucio-2015-34-3	005	THAT	78	THAT
Galucio-2015-34-4	009	ALL	98	ALL
Galucio-2015-34-5	010	MANY	1198	MANY
Galucio-2015-34-6	011	ONE	1493	ONE
Galucio-2015-34-7	012	TWO	1498	TWO
Galucio-2015-34-8	013	BIG	1202	BIG
Galucio-2015-34-9	014	LONG	1203	LONG
Galucio-2015-34-10	015	SMALL	1246	SMALL
Galucio-2015-34-11	016	WOMAN	962	WOMAN
Galucio-2015-34-12	017	MAN	1554	MAN
Galucio-2015-34-13	018	PERSON	683	PERSON
Galucio-2015-34-14	038	HEAD	1256	HEAD
Galucio-2015-34-15	049	BELLY	1251	BELLY
Galucio-2015-34-16	052	HEART/GUTS	2436	GUTS OR HEART
Galucio-2015-34-17	063	SWIM	1439	SWIM
Galucio-2015-34-18	065	WALK	1443	WALK
Galucio-2015-34-19	067	LIE	1411	LIE (REST)
Galucio-2015-34-20	069	STAND	1442	STAND
Galucio-2015-34-21	073	MOON	1313	MOON
Galucio-2015-34-22	074	STAR	1430	STAR
Galucio-2015-34-23	078	SAND	671	SAND
Galucio-2015-34-24	080	CLOUD	1489	CLOUD
Galucio-2015-34-25	083	ASH	646	ASH
Galucio-2015-34-26	084	BURN (INTR)	1428	BURNING
Galucio-2015-34-27	088	GREEN	1425	GREEN
Galucio-2015-34-28	089	YELLOW	1424	YELLOW
Galucio-2015-34-29	091	BLACK	163	BLACK
Galucio-2015-34-30	092	NIGHT	1233	NIGHT
Galucio-2015-34-31	094	COLD	1287	COLD
Galucio-2015-34-32	095	FULL	1429	FULL
Galucio-2015-34-33	096	GOOD	1035	GOOD
Galucio-2015-34-34	099	DRY	1398	DRY
