ID	NUMBER	ENGLISH	CHINESE	SUBLIST	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wang-2004-95-1	1	I	我	A	1209	I
Wang-2004-95-2	2	you	你	A	1213	YOU
Wang-2004-95-3	3	we	我們	A	1212	WE
Wang-2004-95-4	4	this	這	A	1214	THIS
Wang-2004-95-5	5	that	那	A	78	THAT
Wang-2004-95-6	6	who	誰	A	1235	WHO
Wang-2004-95-7	7	what	什麼	A	1236	WHAT
Wang-2004-95-8	8	not	不	A	1240	NOT
Wang-2004-95-9	9	all	全部	A	98	ALL
Wang-2004-95-10	10	many	多	A	1198	MANY
Wang-2004-95-11	11	one	一	A	1493	ONE
Wang-2004-95-12	12	two	二	A	1498	TWO
Wang-2004-95-13	13	big	大	A	1202	BIG
Wang-2004-95-14	14	long	長	A	1203	LONG
Wang-2004-95-15	15	small	小	A	1246	SMALL
Wang-2004-95-16	18	person	人	A	683	PERSON
Wang-2004-95-17	19	fish	魚	A	227	FISH
Wang-2004-95-18	20	bird	鳥	A	937	BIRD
Wang-2004-95-19	21	dog	狗	A	2009	DOG
Wang-2004-95-20	22	louse	蝨子	A	1392	LOUSE
Wang-2004-95-21	23	tree	樹	A	906	TREE
Wang-2004-95-22	24	seed	種子	A	714	SEED
Wang-2004-95-23	25	leaf	葉子	A	628	LEAF
Wang-2004-95-24	26	root	根	A	670	ROOT
Wang-2004-95-25	28	skin	皮膚	A	763	SKIN
Wang-2004-95-26	29	flesh	肉	A	634	MEAT
Wang-2004-95-27	30	blood	血	A	946	BLOOD
Wang-2004-95-28	31	bone	骨頭	A	1394	BONE
Wang-2004-95-29	32	grease	脂肪	A	323	GREASE
Wang-2004-95-30	33	egg	雞蛋	A	744	EGG
Wang-2004-95-31	34	horn	角	A	1393	HORN (KERATINIZED SKIN)
Wang-2004-95-32	35	tail	尾巴	A	1220	TAIL
Wang-2004-95-33	36	feather	羽毛	A	1201	FEATHER
Wang-2004-95-34	38	head	頭	A	1256	HEAD
Wang-2004-95-35	39	ear	耳朵	A	1247	EAR
Wang-2004-95-36	40	eye	眼睛	A	1248	EYE
Wang-2004-95-37	41	nose	鼻子	A	1221	NOSE
Wang-2004-95-38	42	mouth	嘴	A	674	MOUTH
Wang-2004-95-39	43	tooth	牙齒	A	1380	TOOTH
Wang-2004-95-40	44	tongue	舌頭	A	1205	TONGUE
Wang-2004-95-41	45	claw	爪子	A	72	CLAW
Wang-2004-95-42	46	foot	腳	A	1301	FOOT
Wang-2004-95-43	47	knee	膝蓋	A	1371	KNEE
Wang-2004-95-44	48	hand	手	A	1277	HAND
Wang-2004-95-45	49	belly	肚子	A	1251	BELLY
Wang-2004-95-46	50	neck	脖子	A	1333	NECK
Wang-2004-95-47	51	breasts	乳房	A	1402	BREAST
Wang-2004-95-48	52	heart	心臟	A	1223	HEART
Wang-2004-95-49	53	liver	肝	A	1224	LIVER
Wang-2004-95-50	54	drink	喝	A	1401	DRINK
Wang-2004-95-51	55	eat	吃	A	1336	EAT
Wang-2004-95-52	56	bite	咬	A	1403	BITE
Wang-2004-95-53	57	see	看見	A	1409	SEE
Wang-2004-95-54	58	hear	聽到	A	1408	HEAR
Wang-2004-95-55	59	know	知道	A	1410	KNOW (SOMETHING)
Wang-2004-95-56	60	sleep	睡	A	1585	SLEEP
Wang-2004-95-57	61	die	死	A	1494	DIE
Wang-2004-95-58	62	kill	殺	A	1417	KILL
Wang-2004-95-59	64	fly	飛	A	1441	FLY (MOVE THROUGH AIR)
Wang-2004-95-60	65	walk	走	A	1443	WALK
Wang-2004-95-61	66	come	來	A	1446	COME
Wang-2004-95-62	67	lie	躺	A	1411	LIE (REST)
Wang-2004-95-63	68	sit	坐	A	1416	SIT
Wang-2004-95-64	69	stand	站	A	1442	STAND
Wang-2004-95-65	70	give	給	A	1447	GIVE
Wang-2004-95-66	71	say	說	A	1458	SAY
Wang-2004-95-67	72	sun	太陽	A	1343	SUN
Wang-2004-95-68	73	moon	月亮	A	1313	MOON
Wang-2004-95-69	74	star	星星	A	1430	STAR
Wang-2004-95-70	75	water	水	A	948	WATER
Wang-2004-95-71	76	rain	雨	A	658	RAIN (PRECIPITATION)
Wang-2004-95-72	77	stone	石頭	A	857	STONE
Wang-2004-95-73	78	sand	沙子	A	671	SAND
Wang-2004-95-74	79	earth	土地	A	1228	EARTH (SOIL)
Wang-2004-95-75	80	cloud	雲	A	1489	CLOUD
Wang-2004-95-76	81	smoke	煙	A	778	SMOKE (EXHAUST)
Wang-2004-95-77	82	fire	火	A	221	FIRE
Wang-2004-95-78	83	ash	灰	A	646	ASH
Wang-2004-95-79	84	burn	燒	A	141	BURN (SOMETHING)
Wang-2004-95-80	85	path	路	A	2252	PATH
Wang-2004-95-81	86	mountain	山	A	639	MOUNTAIN
Wang-2004-95-82	87	red	紅	A	156	RED
Wang-2004-95-83	88	green	綠	A	1425	GREEN
Wang-2004-95-84	89	yellow	黃	A	1424	YELLOW
Wang-2004-95-85	90	white	白	A	1335	WHITE
Wang-2004-95-86	91	black	黑	A	163	BLACK
Wang-2004-95-87	92	night	晚上	A	1233	NIGHT
Wang-2004-95-88	93	hot	熱	A	1286	HOT
Wang-2004-95-89	94	cold	冷	A	1287	COLD
Wang-2004-95-90	95	full	滿	A	1429	FULL
Wang-2004-95-91	96	new	新	A	1231	NEW
Wang-2004-95-92	97	good	好	A	1035	GOOD
Wang-2004-95-93	98	round	圓	A	1395	ROUND
Wang-2004-95-94	99	dry	幹	A	1398	DRY
Wang-2004-95-95	100	name	名字	A	1405	NAME
